ko,DEFINITION
K00001,E1.1.1.1, adh; alchl dehydrgenase [EC1.1.1.1]
K00002,AKR1A1, adh; alchl dehydrgenase (NADP+) [EC1.1.1.2]
K00003,hm; hmserine dehydrgenase [EC1.1.1.3]
K00004,BDH, butB; (R,R)-butanedil dehydrgenase / mes-butanedil dehydrgenase / diacetyl reductase [EC1.1.1.4 1.1.1.- 1.1.1.303]
K00005,gldA; glycerl dehydrgenase [EC1.1.1.6]
K00006,GPD1; glycerl-3-phsphate dehydrgenase (NAD+) [EC1.1.1.8]
K00007,dalD; D-arabinitl 4-dehydrgenase [EC1.1.1.11]
K00008,SORD, gutB; L-iditl 2-dehydrgenase [EC1.1.1.14]
K00009,mtlD; mannitl-1-phsphate 5-dehydrgenase [EC1.1.1.17]
K00010,ilG; my-insitl 2-dehydrgenase / D-chir-insitl 1-dehydrgenase [EC1.1.1.18 1.1.1.369]
K00011,AKR1B; aldehyde reductase [EC1.1.1.21]
K00012,UGDH, ugd; UDPglucse 6-dehydrgenase [EC1.1.1.22]
K00013,hisD; histidinl dehydrgenase [EC1.1.1.23]
K00014,arE; shiimate dehydrgenase [EC1.1.1.25]
K00015,gyaR, GOR1; glyxylate reductase [EC1.1.1.26]
K00016,LDH, ldh; L-lactate dehydrgenase [EC1.1.1.27]
K00018,hprA; glycerate dehydrgenase [EC1.1.1.29]
K00019,E1.1.1.30, bdh; 3-hydrxybutyrate dehydrgenase [EC1.1.1.30]
K00020,mmsB, HIBADH; 3-hydrxyisbutyrate dehydrgenase [EC1.1.1.31]
K00021,HMGCR; hydrxymethylglutaryl-CA reductase (NADPH) [EC1.1.1.34]
K00022,HADH; 3-hydrxyacyl-CA dehydrgenase [EC1.1.1.35]
K00023,phbB; acetacetyl-CA reductase [EC1.1.1.36]
K00024,mdh; malate dehydrgenase [EC1.1.1.37]
K00025,MDH1; malate dehydrgenase [EC1.1.1.37]
K00026,MDH2; malate dehydrgenase [EC1.1.1.37]
K00027,ME2, sfcA, maeA; malate dehydrgenase (xalacetate-decarbxylating) [EC1.1.1.38]
K00028,E1.1.1.39; malate dehydrgenase (decarbxylating) [EC1.1.1.39]
