ko,weight,DEFINITION
K03421,0.231,methyl-coenzyme M reductase subunit C
K14109,0.201,energy-converting hydrogenase A subunit R
K00401,0.169,methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
K14098,0.136,energy-converting hydrogenase A subunit G
K14097,0.104,energy-converting hydrogenase A subunit F
K14093,0.058,energy-converting hydrogenase A subunit B
K06862,0.057,energy-converting hydrogenase B subunit Q
K14094,0.049,energy-converting hydrogenase A subunit C
K17278,0.043,membrane-associated progesterone receptor component
K08074,0.042,ADP-dependent glucokinase [EC:2.7.1.147]
K00442,0.032,coenzyme F420 hydrogenase subunit delta
K09613,0.031,COP9 signalosome complex subunit 5 [EC:3.4.-.-]
K09493,0.017,T-complex protein 1 subunit alpha
K14099,0.009,energy-converting hydrogenase A subunit H
K02938,0.005,large subunit ribosomal protein L8e
K00399,0.001,methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
