ko,weight,DEFINITION
K03421,0.263,methyl-coenzyme M reductase subunit C
K14109,0.226,energy-converting hydrogenase A subunit R
K14094,0.156,energy-converting hydrogenase A subunit C
K00401,0.131,methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
K14097,0.093,energy-converting hydrogenase A subunit F
K00440,0.091,coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]
K06862,0.045,energy-converting hydrogenase B subunit Q
K16204,0.038,seco-amyrin synthase [EC:5.4.99.52 5.4.99.54]
K11099,0.033,small nuclear ribonucleoprotein G
K14098,0.027,energy-converting hydrogenase A subunit G
K09613,0.026,COP9 signalosome complex subunit 5 [EC:3.4.-.-]
K14093,0.022,energy-converting hydrogenase A subunit B
K08074,0.013,ADP-dependent glucokinase [EC:2.7.1.147]
K05181,0.013,gamma-aminobutyric acid receptor subunit beta
K09493,0.013,T-complex protein 1 subunit alpha
K06612,0.013,alpha-N-acetyl-neuraminate alpha-2;8-sialyltransferase (sialyltransferase 8B) [EC:2.4.99.-]
K17278,0.011,membrane-associated progesterone receptor component
K02938,0.003,large subunit ribosomal protein L8e
K00442,0.003,coenzyme F420 hydrogenase subunit delta
K14096,0.003,energy-converting hydrogenase A subunit E
