AC,CL,DE,GA,ID,ML,NE,TP
PF10417.8,,C-terminal domain of 1-Cys peroxiredoxin,20.40; 20.40;,1-cysPrx_C,40,,Domain
PF12574.7,,120 KDa Rickettsia surface antigen,21.00; 21.00;,120_Rick_ant,246,,Family
PF09847.8,,Membrane protein of 12 TMs,33.20; 33.20;,12TM_1,449,,Family
PF00244.19,,14-3-3 protein,24.90; 24.90;,14-3-3,222,,Domain
PF16998.4,CL0500,17 kDa outer membrane surface antigen,26.60; 26.60;,17kDa_Anti_2,116,,Family
PF00389.29,CL0325,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",24.60; 24.60;,2-Hacid_dh,134,2-Hacid_dh_C,Domain
PF02826.18,CL0063,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",25.10; 25.10;,2-Hacid_dh_C,178,,Domain
PF00198.22,CL0149,2-oxoacid dehydrogenases acyltransferase (catalytic domain),23.00; 23.00;,2-oxoacid_dh,233,,Domain
PF16078.4,,2-oxoglutarate dehydrogenase N-terminus,27.00; 27.00;,2-oxogl_dehyd_N,41,,Family
PF04029.13,,2-phosphosulpholactate phosphatase,26.40; 26.40;,2-ph_phosp,226,,Family
PF16620.4,,Unstructured linker between I-set domains 2 and 3 on MYLCK,25.00; 25.00;,23ISL,162,,Disordered
PF05635.10,,23S rRNA-intervening sequence protein,23.40; 23.40;,23S_rRNA_IVP,106,,Family
PF08521.9,CL0165,Two-component sensor kinase N-terminal,22.00; 22.00;,2CSK_N,140,,Family
PF08793.9,,2-cysteine adaptor domain,20.10; 20.10;,2C_adapt,35,,Domain
PF11591.7,,Ferredoxin chloroplastic transit peptide,25.00; 25.00;,2Fe-2S_Ferredox,34,,Family
PF01257.18,CL0172,Thioredoxin-like [2Fe-2S] ferredoxin,24.80; 24.80;,2Fe-2S_thioredx,145,,Family
PF08975.9,CL0247,Domain of unknown function (DUF1868),21.00; 21.00;,2H-phosphodiest,116,,Domain
PF03390.14,,2-hydroxycarboxylate transporter family,26.20; 26.20;,2HCT,416,,Family
PF03171.19,CL0029,2OG-Fe(II) oxygenase superfamily,21.30; 21.30;,2OG-FeII_Oxy,101,,Domain
PF13532.5,CL0029,2OG-Fe(II) oxygenase superfamily,27.00; 27.00;,2OG-FeII_Oxy_2,199,,Domain
PF13640.5,CL0029,2OG-Fe(II) oxygenase superfamily,27.00; 27.00;,2OG-FeII_Oxy_3,96,,Domain
PF13661.5,CL0029,2OG-Fe(II) oxygenase superfamily,21.40; 21.40;,2OG-FeII_Oxy_4,93,,Domain
PF13759.5,CL0029,Putative 2OG-Fe(II) oxygenase,27.00; 27.00;,2OG-FeII_Oxy_5,101,,Domain
